native,quick,fastsort,counting,counting1,counting2,counting3,heap,radix,shell,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.026,0.06,0.1,0.032,0.032,0.03,0.026,0.37,0.092,0.064,0.688,0.296,0.286,0.217,0.141,0.536,0.207,0.193,0.22
0.029,0.06,0.1,0.027,0.029,0.03,0.025,0.215,0.08,0.081,0.535,0.285,0.293,0.179,0.139,0.551,0.193,0.178,0.203
0.024,0.062,0.102,0.028,0.03,0.03,0.025,0.213,0.078,0.066,0.48,0.289,0.288,0.125,0.138,0.715,1.049,0.181,0.207
0.024,0.062,0.101,0.026,0.027,0.029,0.025,0.214,0.079,0.064,0.457,0.304,1.064,0.131,0.146,0.643,0.379,0.171,0.774
0.028,0.064,0.176,0.026,0.096,0.029,0.028,0.271,0.157,0.076,1.261,0.304,0.339,0.37,0.24,0.677,0.575,0.16,0.188
0.026,0.064,0.103,0.029,0.027,0.035,0.029,0.217,0.079,0.067,0.485,0.286,0.302,0.175,0.143,0.629,0.191,0.185,0.213
0.025,0.104,0.109,0.029,0.029,0.046,0.027,0.233,0.088,0.077,0.532,0.304,0.359,0.135,0.146,0.756,0.338,0.188,0.298
0.025,0.07,0.101,0.025,0.033,0.03,0.025,0.217,0.084,0.069,0.434,0.29,0.316,0.121,0.212,0.629,0.311,0.176,0.186
0.025,0.06,0.101,0.026,0.03,0.03,0.025,0.226,0.082,0.062,0.447,0.803,0.282,0.164,0.427,0.615,0.303,0.148,0.179
0.024,0.06,0.1,0.028,0.028,0.036,0.025,0.216,0.084,0.067,0.482,0.299,0.282,0.123,0.138,0.495,0.195,0.171,0.196
0.027,0.058,0.1,0.024,0.03,0.039,0.031,0.392,0.097,0.069,0.473,0.285,0.296,0.184,0.141,0.72,0.517,0.175,0.19
0.026,0.066,0.102,0.027,0.027,0.032,0.025,0.215,0.079,0.065,0.469,0.29,0.29,0.131,0.142,0.691,1.852,0.177,0.199
0.026,0.06,0.103,0.027,0.025,0.031,0.023,0.237,0.087,0.074,0.54,1.184,0.32,0.121,0.141,19.282,2.168,5.023,0.214
0.157,0.065,0.113,0.033,0.031,0.029,0.029,0.298,0.086,0.064,0.485,0.285,0.325,0.138,0.159,1.763,1.017,0.18,0.21
0.028,0.073,0.112,0.028,0.027,0.029,0.024,0.234,0.086,0.071,0.516,0.287,0.291,0.29,3.461,0.618,0.185,0.174,0.202
0.029,0.065,0.134,0.083,0.03,0.033,0.03,0.221,0.08,0.061,0.472,0.55,0.325,0.18,0.158,0.646,0.19,0.183,0.202
0.028,0.061,0.261,0.026,0.026,0.026,0.025,0.233,0.093,0.085,0.514,0.288,0.295,0.121,0.208,0.73,0.345,0.194,0.206
0.028,0.092,0.105,0.028,0.031,0.034,0.063,0.228,0.086,0.07,0.501,0.32,0.311,0.132,0.15,0.591,0.222,0.176,0.203
0.027,0.06,0.142,0.031,0.029,0.221,0.031,0.246,0.103,0.065,0.496,0.516,0.41,0.12,0.139,0.624,0.203,0.185,0.201
0.027,0.069,0.101,0.026,0.027,0.03,0.026,0.215,0.08,0.07,0.498,0.341,0.285,0.132,0.144,0.569,0.194,0.184,0.211
0.026,0.063,0.102,0.04,0.024,0.029,0.026,0.214,0.079,0.068,0.531,0.288,0.28,0.124,0.155,0.656,0.32,0.171,0.218
0.024,0.06,0.103,0.029,0.05,0.029,0.023,0.217,0.084,0.062,0.543,0.287,0.293,0.122,0.141,0.592,0.46,0.201,0.642
