native,quick,fastsort,countingObj,countingObj2,countingObj3,gnome,shaker,lodash,bucket,merge,bubble,sbubble,insertion,selection
0.133,0.126,0.117,0.094,0.066,0.066,1.922,0.462,0.657,0.274,0.195,1.122,0.309,0.286,0.401
0.126,0.103,0.379,0.089,0.076,0.052,3.01,2.743,0.69,0.214,0.307,1.573,0.417,0.179,0.275
0.079,0.078,0.084,0.086,0.063,0.084,0.432,0.697,0.326,0.145,0.25,1.856,0.354,0.206,0.207
0.088,0.177,0.168,0.109,0.059,0.079,0.802,0.466,13.208,0.137,0.186,0.98,0.214,0.182,0.182
0.148,0.144,0.106,0.054,0.07,0.044,0.556,0.383,0.287,0.113,0.162,0.806,0.25,0.533,0.176
0.071,0.078,0.11,0.05,0.042,0.04,0.796,0.344,0.302,0.138,0.17,2.483,0.181,0.162,0.355
0.22,0.157,0.089,0.095,0.066,0.091,0.783,0.422,0.342,0.117,0.297,1.257,0.364,0.195,0.191
0.258,0.125,0.195,0.086,0.088,0.11,0.964,0.969,0.962,0.114,0.291,2.845,0.236,0.547,0.222
0.089,0.075,0.192,0.058,0.047,0.044,0.68,0.413,0.636,0.146,0.209,1.71,0.409,0.283,0.429
0.08,0.08,0.307,0.062,0.049,0.049,1.11,0.291,0.311,0.234,0.336,2.094,0.289,0.33,0.357
0.147,0.116,0.196,0.06,0.056,0.05,0.839,0.315,0.331,0.125,0.205,1.826,0.199,0.374,0.333
0.134,0.08,0.089,0.073,0.049,0.044,3.191,0.469,0.491,0.23,0.468,3.148,0.439,0.197,0.203
0.072,0.075,0.091,0.071,0.043,0.042,0.787,0.602,1.246,0.233,0.167,0.962,0.261,0.187,0.332
0.123,0.14,0.202,0.06,0.055,0.073,0.546,0.906,0.459,0.124,0.21,1.911,0.37,0.333,0.339
0.074,0.078,0.088,0.048,0.042,0.04,0.859,0.382,0.286,0.116,0.161,0.919,0.19,0.17,0.189
0.07,0.148,0.084,0.056,0.043,0.047,0.993,0.433,0.485,0.122,0.168,0.764,0.292,0.202,0.192
0.088,0.134,0.094,0.073,0.05,0.055,6.447,0.287,0.449,0.12,0.167,4.183,0.293,0.402,0.403
0.075,0.084,0.12,0.055,0.046,0.045,0.949,0.291,0.52,0.347,0.183,2.807,0.179,0.164,0.327
0.153,0.128,0.107,0.053,0.046,0.044,1.969,0.302,0.346,0.125,0.176,2.327,0.209,0.195,0.418
0.078,0.155,0.092,0.053,0.046,0.058,0.639,0.54,0.317,0.124,0.179,2.076,0.241,0.152,0.151
0.078,0.081,0.093,0.054,0.047,0.051,0.446,0.294,0.318,0.123,0.168,1.448,0.198,0.337,0.473
